base_image,target_image,distance,rotation_error_deg,translation_error,baseline_length
0000_389.jpeg,0000_374.jpeg,31.602752602918358,118.77477956356775,135.27402731824216,31.602752602918358
0000_389.jpeg,0000_379.jpeg,147.21905057161297,66.352905404191,113.83521339697103,147.21905057161297
0000_389.jpeg,0000_514.jpeg,163.8383103999275,9.14269389306485,153.61160318713942,163.8383103999275
0000_389.jpeg,3327397568_910a771a12_o.jpg.jpg,173.90132880366093,108.0092862397764,165.6689105924295,173.90132880366093
0000_389.jpeg,2721828845_75f17d771d_o.jpg.jpg,176.4884156773683,5.388646643384407,157.2659215593869,176.4884156773683
0000_389.jpeg,3775724338_b8bf726de3_o.jpg.jpg,179.2264440519065,176.7074597437108,168.5847563114961,179.2264440519065
0000_389.jpeg,231171648_6eb4370497_o.jpg.jpg,182.08858462830636,4.909959602772718,150.02153877487814,182.08858462830636
0000_389.jpeg,2939924502_60a994883e_o.jpg.jpg,185.01321421343926,57.97270210847741,179.83909082137083,185.01321421343926
0000_389.jpeg,3466111597_54717d40d2_o.jpg.jpg,189.37017305400377,3.0133894073694854,153.50355083026412,189.37017305400377
0000_389.jpeg,0000_533.jpeg,206.6359564376023,55.87827350442103,215.81380406948793,206.6359564376023
0000_389.jpeg,0000_333.jpeg,237.71244976381183,103.90622444722528,231.41340196656523,237.71244976381183
0000_389.jpeg,0000_451.jpeg,277.0309191246804,9.173381825836804,260.8385438916935,277.0309191246804
0000_389.jpeg,506974924_960e1869c2_o.jpg.jpg,289.8110147989353,134.66099910098816,270.2168843979048,289.8110147989353
0000_389.jpeg,3740709662_0208873cf3_o.jpg.jpg,290.9046288077518,153.33703684784808,276.43085121436786,290.9046288077518
0000_389.jpeg,244922791_ea599ebec0_o.jpg.jpg,292.88427413778356,3.7743772686790193,240.77012619305282,292.88427413778356
0000_389.jpeg,3007390703_4411e96443_o.jpg.jpg,296.3770894149441,81.05623287606207,281.87390239787635,296.3770894149441
0000_389.jpeg,2780938763_d6d369e41d_o.jpg.jpg,302.0400242189148,6.884098471987758,245.03890833576634,302.0400242189148
0000_389.jpeg,1127055875_1d2dd9950b_o.jpg.jpg,308.089935691681,8.30731649778354,268.29232972681194,308.089935691681
0000_389.jpeg,0000_156.jpeg,333.53890143560756,39.551144764823526,399.42738423602583,333.53890143560756
0000_389.jpeg,0000_540.jpeg,422.3511515439415,131.3493741451083,260.59861588740824,422.3511515439415
